sample_name,cluster,CD11b median,CD11c median,CD123 median,CD127 median,CD14 median,CD16 median,CD183_CXCR3 median,CD185_CXCR5 median,CD19 median,CD192_CCR2 median,CD194_CCR4 median,CD195_CCR5 median,CD197_CCR7 median,CD25 median,CD27 median,CD28 median,CD3 median,CD33 median,CD38 median,CD4 median,CD44 median,CD45RA median,CD45RO median,CD56 median,CD57 median,CD8 median,CD80 median,CD86 median,GranzymeB median,HLA-DR median,IFNB median,IFNg median,IL-10 median,IL-17A median,IL-1b median,IL-2 median,Mip1B_CCL4 median,PD-1 median,T-bet median,TGFb median,TNFa median
2233_Unstim,I02,0,0.0000149672005,0,0.148,0.0568,0,0.0525,0,0,0,0,0,4.65,0.581,3.84,2.31,0.291,0.448,0.808,3.16,2.89,1.63,0.55,0,0.591,0.12,0.127,0.0684,0,1.04,0.737,0.285,0.266,0.189,0,0,0,0,0.365,0.0715,0
2233_Unstim,I03,0.45,2.13,0,0,0,0,0,0,0,0,0,0,0.106,1.05,0,0,0,0,1.69,0,3.71,2.01,0,2.29,0.0776,0,0,0,0.516,1.48,0.563,0,0,0,0,0,0.0305,0,0.646,0.0181,0
2233_Unstim,I04,0.794,1.68,0,0,0,4.05,0,0,0,0,0,0,0.0379,0,0,0,0,0,3.05,0,1.88,2.54,0,0.806,0.582,0,0,0,3.19,1.13,0.314,0,0,0,0,0,0.161,0,1.43,0.259,0
2233_Unstim,I05,0.822,2.04,0,0,0,4,0,0,0,0,0,0,0.000016194641,0,0,0.0011,0,0,2.78,0.108,1.94,2.81,0.00754,1.03,4.8,0.149,0,0,3.57,0.861,0.37,0,0.0495,0,0,0,0.308,0,1.16,0.247,0
2233_Unstim,I06,0.923,1.39,0.00000556912,0.273,0,0,0,0,0,0.475,0,0,0.366,4.11,0,0,0,0.0576,0.983,0,3.4,2.07,0.106,0.694,0.000000769466,0,0,0,0,1.89,0.0381,0,0,0,0,0,0,0,0,0,0
2233_Unstim,I07,0.183,0.0165,0.0176,0,0,0.125,0.102,0,0,0,0,0,0.238,2.61,0.0925,0.204,0,0.412,0.547,0,3.18,0.0952,0.376,0,0,0.0000129287,0.04,0,0,4.74,0,0.000000231184,0.157,0,0.0214,0,0,0,0,0.0285,0
2233_Unstim,I08,0,0.13,1.47,0,0.937,0,0.701,0,0.0994,0,0.413,0.71,0.457,0,0,0,0,0.56,1.48,0.354,1.76,0.0693,0.834,0.443,0.00528,0,0.0173,0,0.262,5.1,0.579,0.0392,0,0,0,0,0,0,0.173,0.0482,0
2233_Unstim,I09,0,0.0000014324739,0,0.113,0,0.757,0,0,0,0,0,0.148,0.19,0,0,0,0.556,0,0.443,0,1.94,0,1.96,0.0305,0,0.0116,0,0,0.94,0.0979,0.319,0,0.168,0,0,0,0,0,0.116,0.00498,0
2233_Unstim,I10,0.625,0.586,0,0,0,0.223,0.0112,0,0,0,0,0,0.335,0,0,0,0,0,2.33,0,0.54,1.86,0,0,3.5,0.124,0,0,3.08,0,0.389,0.000000223699,0,0,0,0,0.416,0,0.3,0.189,0
2233_Unstim,I11,0.114,0.0000015580899,0.00000266836,0,0,0.0145,0.0641,0,1.22,0.0613,0,1.15,2.82,1.33,0.0696,0,0.153,0,0.878,0,2.49,2.95,0.00000668808,0,0.0534,0.00000045761197,0.504,0,0.299,5.98,0,0.00000334824,0,0,0,0,0,0,0,0.112,0
2233_Unstim,I12,1.45,2.37,0.38,0,0.151,0.173,3.3,0,0,3.1,0.214,0.401,1.3,0,0.0234,0,0,0.91,2.25,0.227,1.46,0.104,1.57,0,0.0455,0,0,0.848,0.0677,5,0,0,0,0,0.00808,0,0.281,0,0,0,0
2233_Unstim,I13,0,4.96,1.74,0,0.228,0.294,0.712,0.433,0.222,1.16,0.639,1.78,3.17,0.359,0,0,0.156,2.84,2.23,2.25,5.42,0.831,3.56,1.42,6.48,0.663,0,2.06,3.68,7.94,0,0.164,0.122,0.304,3.01,0,2.37,1.84,1.73,0,0
2233_Unstim,I14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233_Unstim,I15,0.576,4.95,3.39,0.116,0.156,0.197,0.256,0,0,2.22,0,1.9,3.04,0.287,1.05,0,0.267,2.66,2.53,0.267,4.85,1.02,2.27,0.425,1.66,0.14,1.35,2.47,0.274,7.55,0.133,0,0.374,0,0.576,0,0.629,0,0.45,0.0456,0
